epoch,loss,output_a_loss,output_a_masked_loss,output_b_loss,output_b_masked_loss,val_loss,val_output_a_loss,val_output_a_masked_loss,val_output_b_loss,val_output_b_masked_loss
62,3139360512.0,2945739776.0,2945739776.0,193620656.0,193620656.0,31080428.0,28677320.0,28677320.0,2403109.0,2403109.0
63,3026198272.0,2839751424.0,2839751424.0,186446736.0,186446736.0,30618136.0,28198792.0,28198792.0,2419343.25,2419343.25
64,3052861440.0,2862921728.0,2862921728.0,189939824.0,189939824.0,30163216.0,27732534.0,27732534.0,2430682.75,2430682.75
65,3010891776.0,2825422080.0,2825422080.0,185469776.0,185469776.0,29717100.0,27277736.0,27277736.0,2439364.75,2439364.75
66,2977729536.0,2794099456.0,2794099456.0,183630064.0,183630064.0,29281560.0,26831340.0,26831340.0,2450220.0,2450220.0
67,2928420352.0,2752700160.0,2752700160.0,175720288.0,175720288.0,28860134.0,26400532.0,26400532.0,2459602.0,2459602.0
68,2918809344.0,2737307136.0,2737307136.0,181502288.0,181502288.0,28455276.0,25987126.0,25987126.0,2468150.25,2468150.25
69,2826388480.0,2651153664.0,2651153664.0,175234864.0,175234864.0,28060532.0,25586540.0,25586540.0,2473993.0,2473993.0
70,2855785984.0,2679442176.0,2679442176.0,176343712.0,176343712.0,27667172.0,25193418.0,25193418.0,2473753.5,2473753.5
71,2814781440.0,2636263168.0,2636263168.0,178518272.0,178518272.0,27290418.0,24818368.0,24818368.0,2472050.5,2472050.5
72,2787352576.0,2612205568.0,2612205568.0,175147040.0,175147040.0,26919004.0,24450690.0,24450690.0,2468314.25,2468314.25
73,2679225856.0,2514090752.0,2514090752.0,165134976.0,165134976.0,26558504.0,24093750.0,24093750.0,2464753.25,2464753.25
74,2666095872.0,2500098560.0,2500098560.0,165997376.0,165997376.0,26202244.0,23744444.0,23744444.0,2457800.75,2457800.75
75,2628525056.0,2463126528.0,2463126528.0,165398528.0,165398528.0,25852892.0,23403630.0,23403630.0,2449262.5,2449262.5
76,2609943296.0,2447991040.0,2447991040.0,161952336.0,161952336.0,25511578.0,23071858.0,23071858.0,2439719.25,2439719.25
77,2581805568.0,2418257152.0,2418257152.0,163548512.0,163548512.0,25174456.0,22745864.0,22745864.0,2428591.5,2428591.5
78,2538822912.0,2381303808.0,2381303808.0,157519168.0,157519168.0,24845654.0,22429458.0,22429458.0,2416196.5,2416196.5
79,2494692608.0,2335004160.0,2335004160.0,159688464.0,159688464.0,24525368.0,22123108.0,22123108.0,2402259.5,2402259.5
